time,open,high,low,close,volume,_symbol,_extracted_at,_source
2026-01-12,61.10,62.70,61.10,62.70,4146300,VNM,2026-02-10,VCI
2026-01-13,62.90,64.90,62.80,63.30,6761300,VNM,2026-02-10,VCI
2026-01-14,63.60,67.70,63.40,67.70,24838300,VNM,2026-02-10,VCI
2026-01-15,70.00,72.40,69.50,71.00,19260600,VNM,2026-02-10,VCI
2026-01-16,71.10,73.00,69.10,69.60,13372500,VNM,2026-02-10,VCI
2026-01-19,69.80,71.00,68.30,70.60,10385300,VNM,2026-02-10,VCI
2026-01-20,71.50,75.50,71.10,73.40,21521900,VNM,2026-02-10,VCI
2026-01-21,73.00,73.00,70.00,70.30,11234100,VNM,2026-02-10,VCI
2026-01-22,71.10,72.80,70.00,70.90,8055200,VNM,2026-02-10,VCI
2026-01-23,69.40,70.10,67.20,67.20,16050400,VNM,2026-02-10,VCI
2026-01-26,67.40,69.30,67.40,68.90,8864800,VNM,2026-02-10,VCI
2026-01-27,68.40,68.60,66.10,67.70,8357800,VNM,2026-02-10,VCI
2026-01-28,67.70,69.50,67.20,67.70,9816800,VNM,2026-02-10,VCI
2026-01-29,68.50,71.10,67.90,71.10,10036800,VNM,2026-02-10,VCI
2026-01-30,71.50,72.50,70.50,70.60,7844800,VNM,2026-02-10,VCI
2026-02-02,70.90,72.60,70.30,72.60,10777700,VNM,2026-02-10,VCI
2026-02-03,72.90,73.60,71.30,71.60,7261000,VNM,2026-02-10,VCI
2026-02-04,71.80,72.60,70.80,72.00,7672500,VNM,2026-02-10,VCI
2026-02-05,71.90,72.20,69.10,69.10,8057000,VNM,2026-02-10,VCI
2026-02-06,68.30,70.70,68.20,69.10,6695900,VNM,2026-02-10,VCI
2026-02-09,69.40,70.40,69.30,69.60,2573300,VNM,2026-02-10,VCI
