cp,năm,kỳ,tăng_trưởng_doanh_thu,doanh_thu_đồng,lợi_nhuận_sau_thuế_của_cổ_đông_công_ty_mẹ_đồng,tăng_trưởng_lợi_nhuận,thu_nhập_tài_chính,chi_phí_tiền_lãi_vay,doanh_thu_bán_hàng_và_cung_cấp_dịch_vụ,các_khoản_giảm_trừ_doanh_thu,doanh_thu_thuần,giá_vốn_hàng_bán,lãi_gộp,chi_phí_tài_chính,lãi_lỗ_từ_công_ty_liên_doanh,chi_phí_bán_hàng,chi_phí_quản_lý_dn,lãi_lỗ_từ_hoạt_động_kinh_doanh,thu_nhập_khác,lãi_lỗ_trong_công_ty_liên_doanh_liên_kết,thu_nhập_chi_phí_khác,lợi_nhuận_khác,ln_trước_thuế,chi_phí_thuế_tndn_hiện_hành,chi_phí_thuế_tndn_hoãn_lại,lợi_nhuận_thuần,cổ_đông_thiểu_số,cổ_đông_của_công_ty_mẹ,symbol,extracted_at,source
VIC,2024,2,-0.10,42332284000000,-3529017000000,-2.93,10300290000000,-5622417000000,42332284000000,-5170000000,42327114000000,-35190202000000,7136912000000,-8613126000000,483574000000,-3637934000000,-3447487000000,2222229000000,2882661000000,0,-977463000000,1905198000000,4127427000000,-3478515000000,75965000000,724877000000,4253894000000,-3529017000000,VIC,2026-02-10,VCI
VIC,2024,1,-0.44,21739452000000,7934469000000,6.44,18940713000000,-4829728000000,21739452000000,-950000000,21738502000000,-23693642000000,-1955140000000,-7276953000000,-14636000000,-3320582000000,-3436064000000,2937338000000,1075553000000,0,-1519012000000,-443459000000,2493879000000,-1229219000000,70416000000,1335076000000,-6599393000000,7934469000000,VIC,2026-02-10,VCI
VIC,2023,4,-0.33,27451788000000,-158766000000,-1.10,5630560000000,-5379584000000,27451788000000,-24016000000,27427772000000,-30246755000000,-2818983000000,-6040548000000,3524000000,-3116062000000,-5046501000000,-11388010000000,14175489000000,0,-1481631000000,12693858000000,1305848000000,-14554000000,-796625000000,494669000000,653435000000,-158766000000,VIC,2026-02-10,VCI
VIC,2023,3,0.67,47955856000000,-669037000000,-1.71,1311631000000,-5504380000000,47955856000000,-7950000000,47947906000000,-36208361000000,11739545000000,-8209852000000,17845000000,-3225379000000,-3778148000000,-2144358000000,7312453000000,0,-692763000000,6619690000000,4475332000000,-3913879000000,5815000000,567268000000,1236305000000,-669037000000,VIC,2026-02-10,VCI
VIC,2023,2,2.53,47284619000000,1824140000000,-0.46,4189228000000,-3194591000000,47284619000000,10608000000,47295227000000,-36644667000000,10650560000000,-4472301000000,-8567000000,-3120746000000,-3051254000000,4186920000000,114199000000,0,-665590000000,-551391000000,3635529000000,-3757492000000,521938000000,399975000000,-1424165000000,1824140000000,VIC,2026-02-10,VCI
VIC,2023,1,1.14,38974698000000,1066235000000,-0.57,10066516000000,-3331489000000,38974698000000,-11323000000,38963375000000,-34528471000000,4434904000000,-3794874000000,-110627000000,-2581036000000,-3213035000000,4801848000000,220710000000,0,-758271000000,-537561000000,4264287000000,-3604350000000,-70788000000,589149000000,-477086000000,1066235000000,VIC,2026-02-10,VCI
VIC,2022,4,0.19,41172043000000,1558987000000,1.26,2529341000000,-2953960000000,41172043000000,-4189000000,41167854000000,-28363383000000,12804471000000,-2269396000000,-3360000000,-3683344000000,-5170071000000,4207641000000,186298000000,0,-439198000000,-252900000000,3954741000000,-3618126000000,73706000000,410321000000,-1148666000000,1558987000000,VIC,2026-02-10,VCI
VIC,2022,3,-0.04,28791594000000,946781000000,3.69,9998675000000,-3036936000000,28791594000000,-49238000000,28742356000000,-22984053000000,5758303000000,-5064995000000,-31135000000,-1914861000000,-3756101000000,4989886000000,500370000000,0,-237936000000,262434000000,5252320000000,-4731400000000,-14574000000,506346000000,-440435000000,946781000000,VIC,2026-02-10,VCI
VIC,2022,2,-0.64,13384639000000,3392329000000,1.34,10352827000000,-3689078000000,13384639000000,-292000000,13384347000000,-18103498000000,-4719151000000,-4163347000000,-42079000000,-1912816000000,-2832070000000,-3316636000000,5083850000000,0,-208633000000,4875217000000,1558581000000,-1470888000000,465429000000,553122000000,-2839207000000,3392329000000,VIC,2026-02-10,VCI
VIC,2022,1,-0.22,18239222000000,2453756000000,0.17,10737739000000,-1372279000000,18239222000000,-10312000000,18228910000000,-18023838000000,205072000000,-2787411000000,-4285000000,-1734578000000,-4589518000000,1827019000000,198925000000,0,-97791000000,101134000000,1928153000000,-1250784000000,-165338000000,512031000000,-1941725000000,2453756000000,VIC,2026-02-10,VCI
VIC,2021,4,-0.04,34478172000000,-5964033000000,-6.41,3212402000000,-2560860000000,34478172000000,-20346000000,34457826000000,-26217840000000,8239986000000,-2788287000000,-5759000000,-2019498000000,-9515758000000,-2876914000000,485013000000,0,-3977010000000,-3491997000000,-6368911000000,-2277454000000,-602505000000,-9248870000000,-3284837000000,-5964033000000,VIC,2026-02-10,VCI
VIC,2021,3,-0.16,30116315000000,-351336000000,-1.23,1536362000000,-2686664000000,30116315000000,-4736000000,30111579000000,-18413296000000,11698283000000,-2814957000000,-11522000000,-1280340000000,-5769054000000,3358772000000,140254000000,0,-184460000000,-44206000000,3314566000000,-2913077000000,-144423000000,257066000000,608402000000,-351336000000,VIC,2026-02-10,VCI
VIC,2021,2,0.61,37480741000000,1449869000000,-0.29,3917045000000,-2623808000000,37480741000000,-38303000000,37442438000000,-26986417000000,10456021000000,-2925425000000,-16462000000,-2057833000000,-5756755000000,3616591000000,168034000000,0,-170294000000,-2260000000,3614331000000,-3194731000000,181965000000,601565000000,-848304000000,1449869000000,VIC,2026-02-10,VCI
VIC,2021,1,0.51,23305458000000,2094056000000,3.78,7128520000000,-2705898000000,23305458000000,-11037000000,23294421000000,-20008967000000,3285454000000,-2769540000000,-7926000000,-1693896000000,-3135593000000,2807019000000,187320000000,0,-208589000000,-21269000000,2785750000000,-1513877000000,-404175000000,867698000000,-1226358000000,2094056000000,VIC,2026-02-10,VCI
VIC,2020,4,-0.07,35923421000000,1102742000000,-0.76,11780480000000,-2725497000000,35923421000000,-102026000000,35821395000000,-30241372000000,5580023000000,-3519563000000,-5716000000,-3465357000000,-6312236000000,4057631000000,321305000000,0,-147498000000,173807000000,4231438000000,-3163873000000,483409000000,1550974000000,448232000000,1102742000000,VIC,2026-02-10,VCI
VIC,2020,3,0.14,35989817000000,1540067000000,2.09,4693043000000,-3003737000000,35989817000000,-76099000000,35913718000000,-29612674000000,6301044000000,-3100654000000,-88276000000,-2025864000000,-2309420000000,3469873000000,206201000000,0,-67511000000,138690000000,3608563000000,-2808764000000,635740000000,1435539000000,-104528000000,1540067000000,VIC,2026-02-10,VCI
VIC,2020,2,-0.40,23352469000000,2045732000000,0.50,6744100000000,-3073404000000,23352469000000,6304000000,23358773000000,-19944575000000,3414198000000,-2596569000000,-41074000000,-1438472000000,-2319240000000,3762943000000,367774000000,0,-1437103000000,-1069329000000,2693614000000,-1734800000000,-62604000000,896210000000,-1149522000000,2045732000000,VIC,2026-02-10,VCI
VIC,2020,1,-0.29,15470516000000,438441000000,-0.58,8934083000000,-2617903000000,15470516000000,-102030000000,15368486000000,-13382536000000,1985950000000,-3605637000000,-122743000000,-1368152000000,-2512722000000,3310779000000,195417000000,0,-77851000000,117566000000,3428345000000,-2670007000000,-253008000000,505330000000,66889000000,438441000000,VIC,2026-02-10,VCI
VIC,2019,4,0.02,38464244000000,4607397000000,0.90,8611984000000,-2087958000000,38464244000000,-288536000000,38175708000000,-29315897000000,8859811000000,-2091552000000,-209857000000,-4701774000000,-4232800000000,6235812000000,385708000000,0,-366570000000,19138000000,6254950000000,-2745144000000,79724000000,3589530000000,-1017867000000,4607397000000,VIC,2026-02-10,VCI
VIC,2019,3,0.35,31581789394113,497614808515,-0.19,1013408932129,-2215048140070,31581789394113,-10871219860,31570918174253,-20290596055885,11280322118368,-2495665239699,-358085773517,-3995585914453,-2832418678163,2611975444665,149863398864,0,-217696795368,-67833396504,2544142048161,-1567249974923,-265262697066,711629376172,214014567657,497614808515,VIC,2026-02-10,VCI
